"","Value","Age","Overall","Potential","Nationality","International.Reputation","Preferred.Foot.Right","Weak.Foot","GKDiving","GKHandling","GKKicking","GKPositioning","GKReflexes","DefensiveAwareness","Wage","Special","Height","Weight","Release.Clause"
"620",3e+06,27,73,76,"Sweden",1,1,2,76,68,66,73,76,18,5000,1138,196,93,4100000
"622",210000,35,71,71,"Germany",1,1,3,71,69,66,71,71,20,18000,1138,196,100,357000
"623",1500000,27,70,72,"Spain",1,1,3,69,68,64,68,72,12,11000,1137,190,85,3300000
"625",2800000,30,74,74,"Austria",1,1,3,78,71,67,73,75,12,10000,1137,188,82,4200000
"626",1300000,34,76,76,"Germany",1,1,3,77,70,61,78,77,16,22000,1136,195,85,2300000
"628",2e+06,30,73,73,"Mali",1,1,1,73,68,69,71,77,12,11000,1136,198,85,4e+06
"629",1600000,30,72,72,"Germany",1,1,3,72,68,64,72,74,12,13000,1136,190,90,2600000
"630",975000,26,66,71,"England",1,1,4,67,65,65,65,69,15,3000,1136,182,70,1900000
"631",190000,33,64,64,"Republic of Ireland",1,1,3,65,62,67,64,62,22,2000,1136,193,87,333000
"633",1900000,25,70,75,"Scotland",1,1,3,71,69,71,71,71,15,3000,1135,189,83,3500000
"634",775000,30,67,68,"Sweden",1,1,2,67,65,65,66,67,16,1000,1135,191,80,1e+06
"635",825000,29,68,68,"England",1,1,3,68,65,66,66,69,17,5000,1135,189,80,1600000
"636",1200000,30,71,71,"Croatia",1,1,2,72,71,66,73,76,17,5000,1135,189,79,1600000
"637",250000,37,72,72,"France",1,1,3,70,72,67,73,70,14,12000,1135,196,89,475000
"638",25000,36,60,60,"England",1,1,3,60,57,56,61,60,8,1000,1135,183,77,44000
"639",550000,31,67,67,"England",1,1,2,67,66,68,65,68,17,2000,1134,193,76,963000
"641",10500000,30,78,79,"Brazil",1,1,2,77,73,70,76,81,14,12000,1134,196,92,21800000
"642",1100000,30,70,70,"Italy",1,1,2,71,67,53,69,76,12,13000,1134,188,83,2e+06
"643",1100000,29,69,70,"Korea Republic",1,1,3,70,63,60,69,73,15,3000,1133,195,90,1500000
"644",1e+06,24,66,71,"Spain",1,1,3,65,64,65,67,66,13,5000,1133,193,80,2200000
"646",110000,35,67,67,"Italy",1,1,2,66,65,61,69,65,17,5000,1133,188,78,187000
"648",350000,25,61,65,"Curacao",1,1,2,62,59,60,60,63,16,2000,1132,188,78,438000
"649",1400000,30,71,72,"Sweden",1,1,2,72,67,67,70,73,22,4000,1132,187,82,1900000
"650",1600000,26,70,73,"Italy",1,1,2,71,66,63,69,73,19,9000,1132,195,86,3e+06
"651",1500000,28,70,73,"Republic of Ireland",1,1,2,70,67,59,68,73,11,2000,1131,185,83,2e+06
"652",325000,34,67,67,"Italy",2,1,2,67,64,68,66,66,20,1000,1131,189,80,504000
"653",625000,23,61,71,"Norway",1,1,2,61,61,64,59,62,23,650,1131,187,85,906000
"654",1400000,21,70,70,"Brazil",1,0,3,64,68,69,68,75,7,7000,1130,179,76,2700000
"655",725000,28,66,68,"England",1,0,3,67,63,61,66,68,18,3000,1130,185,70,1300000
"656",925000,30,69,69,"Wales",1,1,3,69,67,68,70,68,14,5000,1130,185,74,1700000
"657",5e+06,29,76,76,"Brazil",1,1,2,71,77,76,72,77,14,13000,1129,192,90,9500000
"658",210000,34,68,68,"Argentina",1,1,2,68,65,63,69,68,13,4000,1129,188,87,305000
"659",1400000,25,68,73,"Germany",1,1,5,67,66,70,65,71,19,4000,1128,187,81,2300000
"661",80000,39,65,65,"Northern Ireland",1,1,3,63,66,60,65,64,22,500,1127,188,94,124000
"662",2100000,32,74,74,"Germany",2,1,1,76,72,42,73,79,10,9000,1127,197,98,3400000
"663",4e+05,33,68,68,"Russia",1,1,3,65,66,67,67,71,13,13000,1127,195,83,640000
"664",1100000,21,64,75,"France",1,1,2,62,60,60,63,66,8,900,1127,190,85,2200000
"666",425000,20,58,73,"Republic of Ireland",1,1,3,57,57,52,59,56,8,500,1126,185,80,924000
"667",180000,37,70,70,"Russia",1,1,3,69,66,64,74,69,12,13000,1126,193,90,288000
"668",1300000,28,71,71,"Portugal",1,1,4,71,69,70,68,74,12,8000,1125,188,81,2100000
"669",750000,31,69,69,"Kosovo",1,1,2,69,68,62,71,69,18,14000,1125,188,83,1300000
"670",1100000,22,64,72,"Argentina",1,1,3,61,66,60,65,63,20,2000,1125,187,74,1900000
"671",8e+05,28,67,68,"Senegal",1,1,2,68,66,65,64,66,11,12000,1125,191,82,1600000
"672",1700000,22,66,75,"France",1,1,3,67,64,65,62,69,13,8000,1124,186,80,1600000
"673",220000,32,63,63,"Wales",1,1,3,62,61,57,62,64,16,1000,1124,193,77,385000
"674",1200000,29,70,71,"Switzerland",1,1,3,70,68,66,69,69,20,4000,1124,194,85,2200000
"675",1200000,27,68,71,"France",1,1,2,71,64,65,69,70,17,2000,1124,184,79,2200000
"676",275000,30,62,62,"Italy",1,1,2,61,58,56,63,64,11,4000,1124,185,78,468000
"678",130000,34,62,62,"England",1,1,2,63,58,56,61,65,20,2000,1123,191,78,228000
"679",850000,29,67,69,"Scotland",1,1,2,66,62,70,69,73,15,2000,1123,193,80,1600000
"681",180000,40,70,70,"Italy",1,0,2,68,68,60,70,70,8,7000,1123,183,76,306000
"683",110000,35,67,67,"England",2,1,3,66,67,65,70,64,10,15000,1122,190,86,204000
"684",950000,26,67,69,"Netherlands",1,1,3,68,65,66,65,67,12,3000,1122,190,83,1400000
"685",90000,35,66,66,"United States",1,1,3,66,65,66,66,66,10,1000,1122,185,78,135000
"686",1200000,25,67,72,"France",1,1,2,68,63,66,65,70,10,1000,1122,193,85,2200000
"687",575000,30,66,66,"United States",1,1,1,68,65,65,65,66,15,2000,1122,191,81,834000
"688",1800000,27,72,72,"Brazil",1,1,2,72,71,69,70,76,19,9000,1122,186,76,3100000
"689",150000,35,65,65,"Germany",1,1,2,69,67,66,63,63,14,4000,1121,189,89,255000
"690",1600000,26,69,74,"France",1,1,3,70,66,65,67,69,10,4000,1121,187,75,2900000
"691",4500000,24,72,80,"Spain",1,1,3,74,66,74,67,77,13,12000,1121,186,80,10400000
"692",750000,33,72,72,"Brazil",1,1,1,71,63,77,74,75,24,9000,1121,188,83,1400000
"693",8e+05,28,67,68,"Spain",1,0,2,67,65,64,63,68,11,3000,1121,192,84,1300000
"694",325000,26,61,64,"England",1,0,2,62,58,58,60,63,20,3000,1120,183,82,593000
"695",925000,25,66,70,"Netherlands",1,1,2,63,66,65,63,67,18,2000,1120,188,80,1400000
"696",1600000,31,73,73,"Slovenia",1,1,3,73,72,65,71,74,19,24000,1120,193,84,2900000
"697",1100000,27,68,70,"Colombia",1,1,2,69,65,66,67,71,19,800,1120,187,79,1600000
"699",350000,33,66,66,"Scotland",1,1,2,68,63,64,64,68,12,2000,1120,185,79,613000
"700",3e+06,28,74,74,"Denmark",1,1,2,76,70,67,72,77,15,20000,1120,190,80,5400000
"701",650000,31,68,68,"Portugal",1,1,3,70,69,62,65,67,19,3000,1119,189,80,1400000
"702",625000,38,75,75,"Uruguay",1,1,2,78,73,72,73,81,24,600,1119,186,80,1400000
"703",650000,31,68,68,"Hungary",1,1,2,65,63,67,71,72,12,5000,1119,188,89,1300000
"704",1900000,23,70,75,"Sweden",1,1,3,73,67,66,72,70,13,8000,1119,199,82,3600000
"705",475000,24,62,67,"England",1,1,2,62,60,60,61,62,14,2000,1118,195,81,867000
"706",1200000,31,72,72,"Italy",1,0,2,74,70,58,74,76,20,32000,1118,194,85,2e+06
"707",625000,24,63,69,"Spain",1,1,2,63,60,58,66,61,23,2000,1118,187,80,1100000
"708",550000,31,67,67,"Turkey",1,1,2,67,66,61,65,67,12,4000,1118,191,83,1100000
"709",350000,32,65,65,"Korea Republic",1,1,3,64,61,60,67,67,13,1000,1118,194,84,438000
"710",110000,37,67,67,"Romania",1,0,3,65,68,63,65,68,21,2000,1118,188,84,149000
"711",575000,30,66,66,"Germany",1,1,1,67,63,56,65,67,15,4000,1117,196,93,891000
"712",725000,28,66,68,"Scotland",1,1,2,67,65,66,66,67,15,4000,1117,191,80,1400000
"713",725000,25,65,68,"Tunisia",1,1,2,66,63,61,60,68,10,3000,1117,186,80,1500000
"714",7e+05,32,69,69,"Brazil",1,1,5,71,69,64,67,71,8,6000,1117,190,85,1200000
"715",8e+05,30,68,68,"Italy",1,1,2,68,66,62,65,70,21,2000,1117,187,79,1e+06
"716",5e+05,32,67,67,"Argentina",1,1,3,67,60,65,67,71,22,5000,1116,184,82,713000
"717",675000,25,64,69,"Russia",1,1,3,67,59,65,67,64,24,3000,1116,189,79,1100000
"718",1100000,29,69,70,"France",1,1,2,70,67,66,63,72,13,3000,1116,189,84,2e+06
"719",3100000,22,70,78,"Denmark",1,1,2,74,68,63,68,71,14,14000,1116,190,82,5900000
"720",1e+06,25,66,71,"Croatia",1,0,3,67,65,63,68,69,19,2000,1116,191,89,1500000
"721",4600000,25,75,75,"Brazil",1,1,2,77,76,61,72,73,23,16000,1116,190,88,8700000
"722",1100000,26,67,71,"Spain",1,1,2,65,67,66,69,68,16,5000,1116,194,91,2200000
"723",130000,37,68,68,"Portugal",1,1,2,65,68,64,70,65,9,1000,1115,184,75,273000
"724",450000,29,64,65,"Korea Republic",1,0,3,64,64,59,64,65,17,1000,1115,185,84,596000
"725",550000,29,65,66,"Saudi Arabia",1,1,3,64,61,61,65,68,30,7000,1115,184,86,976000
"726",1e+06,31,71,71,"Italy",1,1,2,72,67,64,69,75,20,22000,1115,193,78,1700000
"727",1200000,25,68,70,"Serbia",1,1,2,69,68,64,69,71,20,9000,1115,194,84,2100000
"729",2400000,23,69,76,"Germany",1,1,3,72,66,62,64,74,13,5000,1115,187,82,4100000
"732",425000,32,66,66,"Germany",1,1,2,70,60,58,63,70,20,6000,1114,193,91,723000
"733",950000,34,75,75,"Brazil",1,0,2,71,72,70,75,81,11,8000,1114,187,82,2e+06
"734",8e+06,22,74,85,"Ukraine",1,1,3,71,70,73,74,76,22,59000,1114,192,87,1.8e+07
"736",675000,25,64,69,"England",1,1,3,65,63,60,62,65,24,2000,1113,193,72,1200000
"737",1e+06,21,64,71,"Republic of Ireland",1,0,2,64,64,58,63,66,13,500,1113,194,83,1800000
"738",3300000,25,73,77,"Austria",1,1,3,74,68,66,73,76,24,15000,1113,184,77,5200000
"739",2e+06,26,71,75,"Germany",1,1,3,73,66,72,70,73,13,25000,1113,195,87,4e+06
"740",675000,26,65,67,"France",1,1,3,62,63,58,65,66,11,1000,1113,184,80,1200000
"743",140000,30,58,58,"South Africa",1,1,2,59,61,58,56,59,14,2000,1112,189,88,245000
"744",4e+05,34,72,72,"Argentina",1,1,2,71,72,65,73,70,18,9000,1112,190,88,580000
"745",170000,34,67,67,"Austria",1,1,2,65,66,62,69,67,24,5000,1111,194,87,247000
"746",450000,28,63,66,"India",1,1,1,63,58,53,64,62,16,700,1111,186,80,641000
"747",180000,41,70,70,"Poland",2,1,3,71,65,66,70,71,15,3000,1111,193,88,252000
"749",1600000,20,66,74,"Peru",1,0,2,64,67,63,68,66,11,500,1111,183,78,3800000
"750",1300000,22,67,73,"Romania",1,1,3,67,68,70,62,71,18,4000,1111,190,85,2100000
"751",525000,30,65,66,"Mexico",1,0,2,67,63,69,60,61,20,3000,1110,182,82,932000
"752",120000,31,59,59,"Switzerland",1,1,3,61,59,56,56,60,8,2000,1109,190,85,174000
"753",750000,31,69,69,"Italy",1,1,2,67,67,63,69,71,8,2000,1109,187,80,1200000
"755",3100000,22,70,78,"Poland",1,1,3,73,68,63,71,72,20,7000,1108,195,80,4700000
"756",1400000,27,69,72,"Belgium",1,1,2,70,65,65,69,71,14,5000,1108,198,88,2100000
"757",130000,33,62,62,"Saudi Arabia",1,0,3,65,56,61,61,64,11,3000,1108,188,87,215000
"758",80000,36,65,65,"Denmark",1,1,3,66,64,61,64,65,15,850,1108,192,88,1e+05
"759",2300000,24,71,76,"Senegal",1,1,3,72,69,64,70,73,8,9000,1107,196,92,4800000
"760",375000,28,63,64,"Côte d'Ivoire",1,1,2,64,59,61,62,64,9,2000,1106,193,82,497000
"761",1200000,31,72,72,"Germany",1,1,3,72,70,68,73,73,18,13000,1106,187,78,2200000
"763",875000,27,67,68,"Denmark",1,1,2,69,62,65,65,70,14,7000,1106,189,88,1600000
"764",550000,24,63,67,"Germany",1,1,3,63,65,56,61,62,12,1000,1106,187,83,839000
"765",4e+05,34,72,72,"France",2,1,2,70,69,71,70,72,10,4000,1105,182,82,720000
"766",850000,27,66,69,"England",1,0,3,67,67,66,66,68,14,3000,1105,193,94,1700000
"767",650000,31,68,68,"Venezuela",1,1,2,69,59,64,68,72,14,5000,1105,197,85,975000
"768",650000,27,66,66,"Germany",1,1,3,68,59,66,62,70,16,9000,1105,186,84,1100000
"771",2300000,18,67,83,"Greece",1,1,2,68,64,61,65,69,7,500,1105,193,80,6300000
"772",45000,36,62,62,"England",1,1,1,63,60,60,61,62,22,1000,1104,188,87,79000
"773",3e+05,23,62,66,"Chile",1,1,2,61,59,58,62,64,14,1000,1104,190,84,428000
"774",1500000,28,71,72,"Czech Republic",1,1,2,76,62,67,69,75,14,12000,1104,197,95,2800000
"775",15000,36,56,56,"Republic of Ireland",1,1,2,56,55,56,55,54,12,500,1104,178,75,23000
"776",130000,35,68,68,"Peru",1,1,2,68,65,69,69,65,10,500,1103,180,82,280000
"777",9e+05,19,62,81,"Spain",1,1,2,53,59,66,66,64,8,1000,1103,188,83,2500000
"778",60000,36,64,64,"Switzerland",1,1,2,64,66,64,64,60,14,8000,1103,191,85,114000
"779",2400000,26,72,75,"Senegal",1,1,3,70,68,70,69,75,8,10000,1102,193,90,4700000
"780",425000,24,61,67,"Hungary",1,1,3,63,60,60,57,62,18,2000,1102,197,91,871000
"781",1600000,29,71,73,"England",1,1,3,71,68,73,73,73,16,40000,1102,194,82,3100000
"782",8e+05,32,70,70,"Argentina",1,0,3,71,65,65,73,71,13,6000,1101,185,86,1200000
"783",2e+06,28,72,74,"France",1,1,2,74,71,63,68,75,9,5000,1101,186,85,3700000
"784",250000,31,63,63,"England",1,1,3,64,60,63,60,66,16,2000,1100,186,81,438000
"785",210000,40,71,71,"France",2,0,3,68,74,66,81,63,21,7000,1100,185,78,420000
"786",1600000,27,70,73,"Brazil",1,1,2,70,66,60,69,73,14,3000,1100,186,80,3500000
"787",2800000,32,75,75,"Albania",2,0,2,74,74,66,74,76,20,28000,1100,194,92,4800000
"788",3800000,25,73,79,"Czech Republic",1,1,3,75,73,72,74,74,16,650,1100,191,84,9100000
"789",240000,34,65,65,"Italy",1,1,2,65,61,58,66,66,11,1000,1100,190,83,372000
"790",450000,22,59,68,"England",1,1,1,60,59,56,56,57,11,1000,1099,196,80,945000
"791",1100000,21,68,77,"Netherlands",1,1,3,71,64,62,62,70,9,2000,1098,188,87,1900000
"792",3200000,21,71,78,"Poland",1,1,3,70,69,66,71,72,8,13000,1098,193,78,6700000
"793",4e+05,22,58,69,"England",1,1,3,56,56,57,58,58,18,1000,1098,185,74,780000
"795",1600000,24,66,74,"Argentina",1,1,2,66,63,63,64,67,23,3000,1097,184,80,2700000
"796",5e+05,32,67,67,"Germany",1,1,2,68,62,59,65,71,21,3000,1097,187,80,725000
"797",1600000,22,68,74,"Belgium",1,1,2,68,67,59,66,70,18,3000,1097,189,80,2600000
"799",950000,26,67,69,"England",1,0,4,65,63,55,64,73,21,12000,1097,183,75,1900000
"800",3e+05,32,64,64,"Germany",1,1,2,64,62,64,61,65,12,3000,1096,185,84,480000
"802",230000,33,65,65,"Hungary",2,1,3,66,61,63,65,67,22,500,1096,194,92,506000
"803",275000,33,66,66,"Haiti",1,1,2,62,63,63,65,70,18,1000,1096,181,89,481000
"804",925000,23,65,71,"England",1,1,3,65,64,63,63,65,17,2000,1095,188,77,1800000
"805",475000,29,64,66,"India",1,1,2,64,59,59,62,65,19,550,1095,197,92,677000
"806",5e+05,28,64,66,"Ukraine",1,1,2,65,63,63,62,66,14,5000,1095,189,79,863000
"807",675000,30,67,67,"Germany",1,0,2,67,66,61,67,69,13,6000,1095,191,85,1100000
"808",1500000,22,65,77,"Spain",1,1,3,62,58,63,69,68,14,4000,1095,187,83,3500000
"809",350000,28,62,64,"Germany",1,1,2,62,58,73,65,61,22,700,1095,196,98,534000
"810",650000,27,65,67,"England",1,0,3,67,62,60,63,67,9,6000,1094,195,81,1300000
"811",1600000,29,72,72,"Greece",1,1,4,74,69,61,71,74,10,14000,1094,190,88,2600000
"812",850000,31,70,70,"United Arab Emirates",1,1,3,70,65,58,69,76,12,550,1094,179,73,1800000
"813",130000,33,62,62,"Brazil",1,1,3,62,60,58,61,63,7,2000,1094,193,88,247000
"814",110000,36,66,66,"Switzerland",1,1,3,67,60,68,65,64,14,3000,1093,186,88,165000
"815",6e+05,26,64,67,"Czech Republic",1,1,2,66,61,61,63,62,10,3000,1093,197,80,1100000
"816",475000,24,62,67,"Republic of Ireland",1,1,2,63,59,57,60,64,15,950,1093,191,78,867000
"817",2900000,19,72,78,"Ukraine",1,1,2,66,72,67,71,77,9,500,1093,198,91,6700000
"818",575000,27,64,67,"France",1,1,2,64,65,59,63,63,14,1000,1092,184,79,1e+06
"819",275000,34,70,70,"England",2,1,3,70,66,72,70,71,11,27000,1092,193,97,523000
"820",450000,26,63,65,"England",1,1,2,63,62,56,62,64,21,2000,1091,181,80,821000
"821",2800000,30,74,74,"Germany",1,1,1,74,74,70,74,75,11,8000,1090,198,103,4200000
"822",575000,30,66,66,"France",1,1,3,68,65,65,67,66,17,1000,1090,183,83,1e+06
"823",3e+05,24,60,65,"Brazil",1,0,1,64,59,58,53,67,9,1000,1090,191,85,653000
"824",3e+05,19,55,72,"England",1,1,5,58,55,61,51,59,15,800,1090,185,74,758000
"825",2e+06,22,67,78,"Republic of Ireland",1,1,2,68,66,64,65,67,14,7000,1090,191,82,4200000
"826",1400000,27,69,72,"England",1,1,2,70,69,63,65,73,17,3000,1090,199,93,2200000
"827",1200000,31,72,72,"Italy",1,1,2,73,68,64,70,76,20,21000,1090,190,79,2200000
"829",2e+06,28,72,74,"Austria",1,1,2,71,64,63,73,77,14,16000,1090,194,90,3200000
"830",675000,30,67,67,"Germany",1,1,2,67,64,63,64,69,30,2000,1090,190,89,979000
"831",525000,33,70,70,"Korea Republic",1,1,3,70,67,61,74,71,11,4000,1089,192,82,683000
"832",750000,31,69,69,"Belgium",1,1,2,69,68,75,67,70,18,5000,1089,188,80,1100000
"833",2e+06,24,67,75,"England",1,1,3,71,65,63,64,72,10,7000,1089,185,78,4200000
"834",3e+05,31,64,64,"Germany",1,1,2,64,66,61,59,67,15,3000,1089,188,87,465000
"835",850000,26,66,69,"England",1,1,2,67,66,64,66,66,11,2000,1089,198,93,1600000
"836",425000,24,62,65,"England",1,1,3,64,61,60,59,64,13,2000,1089,188,80,776000
"837",80000,35,65,65,"Czech Republic",1,1,2,66,61,67,65,65,14,500,1089,187,89,168000
"838",425000,23,59,69,"England",1,1,2,61,57,58,57,61,11,1000,1089,185,77,871000
"839",1500000,21,65,79,"Spain",1,1,2,65,64,69,62,66,12,3000,1088,185,78,4200000
"840",1400000,20,65,75,"Denmark",1,1,2,67,65,65,64,68,13,2000,1088,185,81,2e+06
"841",150000,36,69,69,"Spain",1,1,2,67,66,65,65,73,15,2000,1088,185,75,233000
"842",1800000,24,69,75,"Spain",1,1,3,69,67,60,69,73,15,8000,1087,187,83,4100000
"843",575000,30,66,66,"United States",1,1,3,65,64,61,66,70,24,2000,1087,193,84,834000
"844",1200000,27,69,70,"Greece",1,1,2,70,68,70,63,70,17,500,1086,194,89,2700000
"845",1400000,29,71,72,"Slovakia",1,0,2,71,69,66,70,72,21,5000,1085,192,80,2e+06
"846",575000,28,65,66,"England",1,1,3,66,64,66,63,68,18,5000,1085,186,74,1100000
"847",240000,32,63,63,"Spain",1,0,3,62,66,57,60,60,18,2000,1085,190,83,324000
"848",725000,28,66,68,"England",1,1,3,66,65,63,65,67,12,3000,1085,191,85,1400000
"850",1300000,26,68,72,"Japan",1,1,3,71,62,69,64,71,8,3000,1085,185,82,2800000
"851",425000,20,58,72,"United States",1,1,2,59,57,58,58,61,15,650,1084,193,80,882000
"853",2e+06,25,71,75,"Brazil",1,0,2,71,73,68,74,75,14,500,1084,188,90,4500000
"854",850000,27,66,69,"Netherlands",1,1,3,68,62,61,63,70,11,3000,1083,192,87,1300000
"855",130000,33,62,62,"England",1,1,3,60,62,59,62,63,17,3000,1083,183,76,228000
"856",4e+05,23,58,68,"Northern Ireland",1,1,2,59,56,56,56,59,16,500,1083,182,69,7e+05
"857",2e+06,23,70,78,"Colombia",1,1,2,70,66,66,69,73,20,900,1083,187,80,3100000
"858",1500000,26,69,73,"South Africa",1,1,3,73,72,64,67,67,26,500,1083,186,73,3400000
"859",1200000,27,69,70,"North Macedonia",1,0,2,70,65,60,66,72,12,10000,1082,196,89,2400000
"860",60000,39,64,64,"Austria",1,1,3,63,65,61,66,60,25,3000,1082,193,88,90000
"861",210000,38,71,71,"Brazil",2,1,3,72,68,63,72,69,20,6000,1082,187,80,378000
"862",1800000,21,66,79,"Italy",1,1,3,68,68,59,62,72,16,5000,1082,187,73,4200000
"864",80000,35,65,65,"Germany",1,1,2,65,64,64,63,66,8,500,1081,188,86,116000
"865",2400000,33,76,76,"Romania",1,1,2,76,75,70,77,77,14,850,1081,184,78,5300000
"866",3600000,21,71,81,"Nigeria",1,1,3,71,68,66,69,74,16,4000,1081,198,94,5900000
"868",80000,34,63,63,"England",1,1,3,59,61,57,64,64,11,1000,1080,190,90,140000
"869",1100000,22,64,75,"Croatia",1,1,2,64,61,61,62,66,18,500,1080,189,77,2600000
"870",525000,27,64,66,"Chile",1,0,2,64,62,61,63,64,16,3000,1080,194,77,958000
"871",750000,24,64,70,"Poland",1,1,2,65,63,62,63,64,15,1000,1079,188,82,1500000
"872",110000,35,67,67,"United States",1,1,3,70,62,63,62,69,10,1000,1079,188,83,160000
"873",80000,34,63,63,"United States",1,1,3,62,61,64,68,61,18,1000,1079,193,107,120000
"874",150000,36,69,69,"Korea Republic",2,1,3,70,66,77,68,70,10,3000,1079,191,91,195000
"875",2300000,23,68,76,"Mexico",1,1,2,72,64,65,68,72,19,13000,1078,188,83,4400000
"876",725000,25,64,70,"Ukraine",1,1,1,64,63,57,61,65,5,2000,1078,190,82,1400000
"877",1600000,28,71,73,"Wales",1,1,3,71,68,67,69,71,18,14000,1078,185,80,3200000
"878",1600000,31,73,73,"Croatia",1,0,2,75,73,48,74,74,13,700,1077,201,96,3500000
"879",475000,28,64,65,"France",1,1,3,65,60,63,64,67,11,2000,1077,185,80,867000
"881",30000,34,57,57,"India",1,1,4,56,52,59,53,62,12,500,1076,182,74,41000
"883",1200000,20,64,79,"Germany",1,1,3,59,60,68,63,67,8,600,1076,185,82,2500000
"884",25000,37,59,59,"England",1,1,4,56,58,62,60,54,18,1000,1076,183,88,44000
"885",2400000,28,73,74,"Iran",1,1,2,72,70,67,73,73,13,6000,1076,186,80,4e+06
"886",210000,37,71,71,"France",2,0,3,72,69,62,73,72,11,7000,1076,188,84,399000
"887",875000,28,67,69,"Germany",1,1,2,69,65,61,66,66,16,2000,1076,193,87,1400000
"889",375000,26,62,64,"Germany",1,1,2,63,54,50,62,65,28,2000,1075,193,89,572000
"890",2300000,22,68,76,"Sweden",1,1,3,66,69,65,69,71,16,2000,1075,201,88,3300000
"891",1200000,30,70,71,"Algeria",1,0,3,69,68,62,70,72,8,9000,1074,190,90,2100000
"893",2e+05,32,62,62,"Korea Republic",1,1,3,63,62,60,60,61,15,850,1073,191,86,250000
"894",425000,26,62,66,"Wales",1,1,3,64,62,60,61,64,15,3000,1073,192,80,776000
"895",8e+05,32,70,70,"Australia",2,1,3,71,68,53,70,72,12,3000,1073,193,78,1e+06
"896",775000,30,67,68,"Serbia",1,1,3,68,65,62,63,68,9,2000,1072,187,85,1100000
"897",925000,22,63,72,"Finland",1,0,3,64,62,63,62,64,11,1000,1072,183,73,1800000
"898",375000,27,62,64,"Republic of Ireland",1,1,3,64,62,63,62,63,14,2000,1071,185,77,684000
"899",110000,36,67,67,"Finland",1,1,3,68,68,62,66,65,15,3000,1071,190,86,198000
"900",1500000,24,68,74,"Spain",1,1,3,70,69,60,66,66,16,7000,1071,188,88,3500000
"901",4300000,19,71,87,"Belgium",1,1,3,74,70,67,66,73,11,3000,1071,190,79,9100000
"902",250000,29,61,62,"United States",1,1,2,58,64,60,65,57,6,1000,1071,191,93,394000
"903",6500000,21,73,85,"Portugal",1,1,3,73,71,65,73,75,19,5000,1071,187,81,14300000
"904",2400000,20,67,83,"Spain",1,1,3,66,67,66,65,67,7,3000,1071,192,77,6500000
"905",8e+05,30,68,68,"France",1,0,2,69,64,70,67,70,9,3000,1070,187,83,1400000
"906",1e+06,24,66,71,"United States",1,1,2,67,63,68,66,66,12,2000,1070,188,82,1500000
"907",1600000,25,69,74,"Germany",1,1,3,71,65,58,64,72,8,6000,1070,193,85,2500000
"908",1e+06,19,63,77,"Japan",1,1,3,65,63,59,52,70,10,500,1070,183,79,1900000
"909",2e+06,25,70,76,"Croatia",1,1,3,73,62,66,66,75,30,500,1070,190,85,4800000
"910",50000,39,63,63,"Scotland",1,1,2,61,64,61,64,61,15,1000,1069,185,81,88000
"911",210000,31,62,62,"Czech Republic",1,1,2,64,60,58,63,61,17,3000,1069,195,89,368000
"912",2400000,23,69,76,"Russia",1,1,2,68,66,68,69,72,16,12000,1069,190,84,4300000
"914",650000,31,68,68,"Korea Republic",1,1,4,71,54,61,71,73,18,2000,1068,180,76,813000
"915",350000,25,61,65,"England",1,1,3,61,59,62,61,62,16,1000,1068,198,82,639000
"916",3e+05,22,59,65,"England",1,1,3,58,59,53,60,58,23,3000,1067,193,75,630000
"917",1200000,20,64,77,"Norway",1,0,2,65,59,62,63,69,10,7000,1067,189,76,3e+06
"918",1100000,28,68,71,"United States",1,1,2,69,65,66,67,68,19,3000,1066,193,93,1700000
"919",17500000,29,80,82,"Czech Republic",2,1,3,82,75,60,71,85,12,14000,1065,196,81,29300000
"920",9e+05,19,62,79,"Germany",1,1,3,66,62,62,51,67,10,2000,1065,187,88,2100000
"921",1500000,20,65,77,"Cuba",1,0,2,66,64,58,65,67,10,1000,1065,193,88,2700000
"922",625000,24,63,69,"France",1,1,2,67,56,57,59,70,12,3000,1065,186,78,1400000
"923",275000,26,62,66,"Mexico",1,1,1,61,62,60,61,64,19,8000,1065,191,84,461000
"924",220000,32,63,63,"Austria",1,1,3,65,59,64,66,63,30,2000,1065,181,80,319000
"925",350000,27,61,65,"England",1,1,3,61,60,60,58,64,20,3000,1064,183,90,639000
"926",850000,27,66,69,"Germany",1,1,2,64,67,61,64,67,14,2000,1064,188,84,1400000
"927",130000,31,60,60,"England",1,1,2,61,59,55,59,60,17,500,1064,193,79,280000
"928",1300000,21,64,78,"Germany",1,0,3,66,61,61,58,67,18,1000,1064,189,83,2900000
"930",35000,36,61,61,"Switzerland",1,1,2,61,58,52,59,63,11,1000,1064,187,85,51000
"931",60000,37,64,64,"Germany",1,1,3,63,66,62,64,61,8,2000,1063,184,83,96000
"932",325000,34,71,71,"Argentina",1,1,1,72,68,74,70,73,20,8000,1063,182,78,455000
"933",110000,35,67,67,"Ecuador",1,1,3,67,65,70,65,66,15,500,1063,186,98,237000
"934",675000,24,64,68,"Austria",1,1,4,64,62,65,66,63,14,3000,1063,183,79,1100000
"935",25000,35,60,60,"England",1,1,2,59,60,50,55,62,13,900,1062,193,87,44000
"936",45000,35,62,62,"Republic of Ireland",1,1,3,61,62,62,61,61,30,750,1062,196,92,79000
"937",90000,37,66,66,"Belgium",1,1,3,63,70,65,73,60,23,2000,1062,188,84,131000
